ID,Character,Gender,Turkish,MSA,Syrian_Arabic
392,Arkut,Male,Ve elindeki bu koz ikimizi de bitirir haberin olsun.,وهذا الكرت يمكن أن يدمرنا. ,يعني اذا بتقصد فيها تدمرنا تنيناتنا بثواني
393,Arzu,Female,Ya sen ne kozundan bahsediyorsun?  Hangi koz?,عن أي كرت تتحدثين؟ أي كرت؟ ,شو تقرير مزور وتقرير حقيقي شو هالتخبيص؟
394,Arkut,Male,Hiçbir sırrı sonsuza kadar saklayamıyorsun.,لا يمكنك إخفاء أي سر للأبد. ,مافي سر بيضل مخبى للابد
395,Arkut,Male,Arzu ne isterse yapmak zorundasın o duyuyor musun?,أرزو يجب أن تفعلي ما تطلبه، هل تسمعين؟ ,ارزو. شو ماطلبت منك تعملي اعملي عم تفهمي
396,Arkut,Male,O belgeyi imzalayacaksın.  Emiroğulları bu işi öğrenirse ikimiz de hapsi boylarız kızım.,ستوقعين على تلك الوثيقة. إذا عرف عائلة إميرولاري بأمرنا، سنذهب إلى السجن يا ابنتي. ,والا رح تاخد التقرير لعيلة أمير اوغلو ووقتا ماحدا بالعالم فيه ينفدنا من السجن فهمانة
397,Arkut,Male,O benzini sen döktün kızım.,أنت من سكبت البنزين يا ابنتي. ,انتي الي كبيتي البنزين عالكوخ . تذكري بقى
398,Arzu,Female,Şimdi arkamdan kuyumu kazıyorsun ben görmüyor muyum?,الآن تحتقرني من وراء ظهري، ألا أرى؟ ,شلت حالي لحالي على طول بلا مساعدة من حدا فهمت
399,Arkut,Male,Ya sen hastanelerde sürünürken yanında kim vardı?,من كان معك عندما كنت تتجولين في المستشفيات؟ ,مين كان معك لما دخلتي المشفى ومين اعتنى فيكي؟
400,Arkut,Male,Takıldın bizi bir din peşine gidiyorsun.,أنت تتبعين شيئًا بعيدًا عنا. ,رحتي ركضتيلي ورا هداك المريض
401,Selim,Male,Elbet düşüreceğim senin maskeni.  İşte o zaman,سأكشف حقيقتك في النهاية. عندها,عن قريب رح اكشفك ع حقيقتك
402,Selim,Male,Kendi ellerimle teslim edeceğim seni adalete.,سأسلمك للعدالة بيدي. ,رح يجي وقت واكشفك وسلمك للعدالة بايديي ياحقير
403,Arkut,Male,Belli ki senden tırtıklamak için,يبدو أنه يريد استغلالك. ,وحياتك مانو معك غير لحتى ياخد مصاريكي
404,Arzu,Female,Sen herkesi kendin gibi mi zannediyorsun?,هل تعتقدين أن الجميع مثلك؟ ,لم شو مفكر كل العالم متلك؟
405,Arzu,Female,Sen Ümitle ilgili böyle konuşamazsın.,لا يمكنك التحدث عن أوميت بهذه الطريقة. ,ليك. ما بسمحلك تحكي عن اوميت
406,Arkut,Male,Sen zaten kime güveneceğini hiç bilemedin Arzu.,لم تعرفي أبداً على من تثقين يا أرزو.,والله انتي مو عرفانة مين معك ومين ضدك ارزو
407,Arzu,Female,Sen bir annenin evlatını kaybetecek olarak biliyorsun.,أنت تعرف فقط ما يعني فقدان طفل كأم.,معقول جايين تتهموني اني انا يلي قتلتا شو هالجنان
408,Arkut,Male,Bak bu işte yalnız değilsin.  İkimiz de topun ağzındayız.,أنت لست وحدك في هذا الأمر. نحن الاثنين تحت الخطر.,هالحكي مو عليي انا لان انا واياكي بالهوا سوا فهمانة
409,Melek,Female,Ne diyorsun sen yine ya?,ماذا تقولين أنت مجددًا؟,لك انتي شو عم تخبصي؟
410,Arzu,Female,Kenan senin besleme kızını kurtarmaya çalışırken ölmedi mi?,ألم يمت كينان وهو يحاول إنقاذ ابنتك المتبناة؟,ما كنان مات وهو عم يحاول ينقذك انتي وبنتك الشيطانة؟
411,Aliya,Female,Senin ne ölüye ne direğe saygın var.,لا احترام لك لا للموتى ولا للأحياء.,مابتحترمي العايشين ولا الميتين
412,Aliya,Female,Geçmiş karşımıza bizi hakaret ediyorsun.,لقد وقفت أمامنا وأهنتنا.,جاية تفرجيها اديش لساتك واطية
413,Aliya,Female,"Sen evladına,  Tuğçeye doğru dürüst hiç analık ettin mi ki ha?",هل قمتِ بأمومة صحيحة لطفلك، توغتش؟,شو قدمتي ل بنتك . ل توجة. شو عملتي من واجبات الام قليلي؟
414,Aliya,Female,Lakin sen bunu söyleyeceğim en son insansın.  Şimdi defol git.,ولكنكِ آخر شخص سأقول له هذا. الآن اغربي عن وجهي.,لان انا يلي بعرفك وبعرف شو كنتي كتير منيح
415,Ümit,Male,Biz yine de çok dikkatli olalım.  Bu kadın bu kadar alçalabildiğine göre.,يجب أن نكون حذرين للغاية. إذا كان يمكن لهذه المرأة أن تنحدر إلى هذا الحد.,بس الاحسن ندير بالنا لان مابتعرفي شو بيطلع معا هي المرا
416,Gonca,Female,Ya neyine güveniyorsun anlamıyorum ki.,لا أفهم على ماذا تعتمدين.,ماعم افهم كيف هالقد واثقة بحالا عنجد
417,Gonca,Female,Sen hapse girmeyi asla göze almasın.,لن تغامري أبداً بالذهاب إلى السجن.,لو شو ماصار مستحيل تخاطري بانك تنحبسي
418,Gonca,Female,Selim?  Neye gelmiş Selim?  Ne bileyim ben.  Beni görmemiştin değil mi?  Rahat ol.  Seni görseydi çıkmazdı zaten.  Ne yapıyorsunuz siz ya?  Ne bekliyorsunuz?  Gitsenize.  Şarjı.,سليم؟ لماذا حضر سليم؟  لا أعرف. لم ترني صحيح؟ كن هادئاً. لو كان قد رآك لم يكن ليخرج بالفعل. ماذا تفعلون يا؟ ماذا تنتظرون؟ اذهبوا. لقد شُحن.,سليم؟
419,Arzu,Female,"Hatta ben eminim bu kadın benimle uğraşıyor,  bilmiyor musun?",حتى أنني متأكد أن هذه المرأة تتلاعب بي، ألا تعرف؟,حتى فيني اكدلك انو ماحدا عملا غيرا
420,Melek,Female,Ya biz iyiyiz de benim asıl aklım sende Zeynep.  Ne yaptın?,نحن بخير لكن بالفعل ذهني معك يا زينب.  ماذا فعلتِ؟,ما بدنا شي  . بس .  مشغول بالي عليكي زينب ؟
421,Gonca,Female,Mademki para senin özgürlüğünden daha kıymetli,بما أن المال لديك أهم من حريتك,وبما انو المصاري عندك اغلى من حريتك .
422,Gonca,Female,Sen de izlenirsin gidebilirsin.  Teşekkür ederim.,أنت أيضًا يمكنك الذهاب، شكرًا لك. ,فيك تعطل  بقيه النهار
423,Aliya,Female,Sen bir günden bir güne,منذ يوم إلى آخر,لك طول عمرا مهملة لبتنا
424,Aliya,Female,Neden hep sen benimle ilgileniyorsun diye sorardım.,لماذا تعتني بي دائمًا أنتِ؟ ,وليش ما بتهتم فيني وحتى لما امرض ما بتجي لعندي
425,Aliya,Female,Göreceksin bu işin altından da arzu çıkacak.,سترين أن عارزو أيضًا متورطة في هذا الأمر. ,ورح تشوفي انو اررو الها علاقه بهالموضوع
426,Arkut,Male,Yok bir şey yok.  Sen bak işine.  Sakın Gonca.,لا لا شيء. تابعي عملك. لا تُقحِّمِي في الأمر جونجا. ,لاء مافي شي كملي شغلك
427,Ümit,Male,Ne pahasına olursa olsun o belgeleri alacağım senden.,مهما كان الثمن سأحصل على تلك الوثائق منك. ,وبأيا تمن انا رح آخد الوثائق يلي معك
428,Aliya,Female,"Kabristana da geleceğim dedin,  oraya da gelmedin.",قلت إنك ستأتي إلى المقبرة، لكنك لم تأتِ.,كمان ما أجيت عالمقبرة خير شو صاير معك
429,Selim,Male,Önemli olmasaydı gelmez miydim anne biliyorsun.,إذا لم يكن مهمًا ألم أكن سأأتي يا أمي، تعلمين هذا.,ماما اكيد لو قدرت كنت اجيت
430,Ümit,Male,O da yeri senden alacağım.,سأأخذ المكان منك أيضًا.,رح اخد الوراق غصب من عنك
431,Selim,Male,Ben sana inanmadım abla.  Ben uyanamadım.,أنا لم أصدقك يا أختي. لم أستيقظ.,ولك انا . ما دورت وراه . وما سمعت منك
432,Aliya,Female,Allahım sen aklıma mukayyet ol.,يا الله احفظ عقلي.,يارب ساعدني وحفظلي عقلي
433,Aliya,Female,Allah korusun evladım.  Allah korusun.,الله يبعدهم يا بني. الله يبعدهم.,لاسمح الله ياابني الله لا يقدر
434,Melek,Female,Ya sen ümidin dolandırıcı olduğuna hem de Arzu  ile iş birliği yaptığına nasıl ikna oldun?,كيف اقتنعتِ بأن أوميت نصّاب وأنه تعاون مع أرزو؟ ,بس فهمني كيف اقتنعت إنو نصاب . وانو شريك مع أرزو فهمنا شو صار وشو عرفت
435,Arkut,Male,Bir yerinde duramadın değil mi Neolcan?,لم تستطع أن تبقى في مكان واحد صحيح يا نئولجان؟ ,ليش ما رديتي عليي يا غونجا
436,Arkut,Male,Bak başına ne iş açtın Gonca niye dinlemiyorsun beni ya?,انظري لما فعلتيه لنفسك يا غونجا، لماذا لم تستمعِ إلي؟ ,شوفي لوين وصلتي حالك غونجا ليش ما سمعتي مني ليش
437,Melek,Female,Bak gördün mü?  O adama güvenmememiz gerektiğini sana söyledim.,انظر، رأيت؟ لقد أخبرتك أنه لا يجب أن نثق بهذا الرجل. ,شفت . هاد دليل انو ما لازم نثق فيه هادا الزلمة
438,Arkut,Male,Şimdi hırsın yüzünden canından olacaksın.,الآن بسبب عنادك، ستخسرين حياتك. ,شو بتستفيدي اذا مشان طمعك صرلك شي ؟
439,Arzu,Female,Gonca engel olabildin mi?  Ne oldu?,هل استطعت إيقاف غونجا؟  ماذا حدث؟ ,لحقت غونجا ولا شو صار؟
440,Arzu,Female,Bu kadın çiftliğe belgeleri götürmeye gitmiyor muydu?,ألم تكن هذه المرأة تذهب بالوثائق إلى المزرعة؟ ,المرة . كانت آخدة الوراق و رايحة عالمزرعة
441,Orhan,Male,Ümitin evine girip aldığını söyledin mi?,هل قلت إنك دخلت منزل Ümit وأخذت شيئًا؟,قلتلو إنو كلهن جبتهن من بيت أوميت؟
442,Orhan,Male,Artık senden yana bir şüphe kalmamıştır o zaman.,إذًا لم تبقَ أي شبهة بشأنك الآن.,يعني لازم هلأ . يأمنلك لانو صار متأكد
443,Yusuf,Male,Ben de ona arzuların hedef şaşırtmaya çalıştığını söyledim.  Ve beni de yem alamadın.,قلت له أن الرغبات تحاول خداعه. ولم تتمكن من خداعي أيضًا.,وقلتلو انو آرزو عم تلعب على كيفها و هدفها تدمير الكل
444,Orhan,Male,Artık o kadar kanıttan sonra bir zahmet anlasın.,بعد كل تلك الأدلة يجب أن يفهم الآن.,منيح بعد كل هالوقت انو فهم . ما احلا وما يفهم
445,Asuman,Female,Kabak yine kesin benim başıma patlayacak ha.,يبدو أن المسؤولية ستقع عليّ مجددًا.,انا الحق عليي ليش خليتها تطلع
446,Melek,Female,Çocuklar da çok sevinmiş seni görünce.,الأطفال أيضًا فرحوا كثيرًا عندما رأوكِ.,والبنات كتير بيفرحو فيكي
447,Aliya,Female,Asuman hoş geldin kızım nasılsın?,أهلاً بكِ يا أسومان، كيف حالكِ يا ابنتي؟,اسومان . أهلا وسهلا بنتي . كيفك؟
448,İnci,Female,"Abla,  gel hadi sen çizdiğin resimleri göstereyim.",أختي، تعالي لأريكي الرسوم التي رسمتيها.,أختي تعي بدي ورجيكي الرسمات اللي رسمتها اليوم
449,Aliya,Female,Hoş geldin oğlum.  Nerede kaldın böyle?  Hoş bulduk.,أهلاً بكَ يا بُني، أين كنتَ كل هذا الوقت؟ أهلاً.,أهلين ابني . وين كنت لهلأ ؟
450,Melek,Female,Selim çok mu yorgunsun sen?,سليم، هل أنت متعب جداً؟,سليم طمني صاير معك شي ؟
451,Melek,Female,Yani durumu nasılmış peki?  Gördün mü sen?,كيف حالتها إذن؟ هل رأيتَها؟,يعني ما عرفت شو صاير معها ماقدرت تشوفها سليم؟
452,DOCTOR A 508,Male,Elimizden geleni yapacağımızdan endişeniz olmasın.,لا تقلق، سنفعل كل ما بوسعنا.,عم نعمل اللي منقدر عليه وعند الله مافي مستحيل
453,Ümit,Male,"Ayak mayak yaptığın yok benim.  Derdin neyse adam akıllı, söyle.",أنا لا أقوم بتظاهر، أيًا كان الأمر أخبرني بوضوح. ,انا ما عملت شي ابدا . قلي شو هي مشكلتك و خلصني
454,Arkut,Male,Kimi yiyorsun oğlum sen?  Kimi?,من تحاول خداعه؟  من؟ ,عمين مفكر عم تضحك . على مين؟
455,Arkut,Male,Efendim gibi bana bu Goncanın  çantasından aldığım belgeyi vereceksin.,ستعطيني الوثيقة التي أخذتها من حقيبة غونكا. ,رح تعطيني  يلي اخدتو من شنتة غونجا متل الشاطر انت وعم تضحك وتلعب
456,Ümit,Male,Sen ne diyorsun ya?  Ben kimseden bir şey almadım.,عن ماذا تتحدث؟  لم آخذ أي شيء من أحد. ,انت شو عم تقول آه . انا ما اخذت شي من حدا
457,Arkut,Male,İnkar etme bak gebertirim seni.,لا تنكر وإلا سأقتلك. ,لا تنكر احسن ما خلص عليك ولا
458,Arkut,Male,Söyleyeyim mi ben sana?  Seninle Arzuyu!,هل أخبرك؟ أنت وأرزو! ,انا بقلك مين . انت و ارزو
459,Arkut,Male,Bak ya bak ya bir de bana dayılanıyorsun lan.,انظر كيف تتبجح أمامي أيضًا.,ليك ولا اسماع لقلك . حاجة تنكر يلي عملتوا
460,Arkut,Male,Ona bir şey olursa yemin ediyorum gebertirim seni.  Duydun mu?,إذا حدث لها شيء، أقسم سأقتلك.  سمعتني؟ ,وإذا بصرلا شي . يمين عظيم لحتى اطلع بروحك فهمت
461,Arzu,Female,Gece kaçta geldin sen duymadım ben seni.,في أي وقت عدت في الليل لم أسمعك. ,حبيبي ايمتا رجعت عالبيت ما حسيت عليك.
462,Ümit,Male,Gördün işte tamam mı?  Artık müsaade et.  Kim yaptı?,رأيتِ الآن، أليس كذلك؟ الآن اسمحي لي. من فعل هذا؟ ,شفتي هلئ تمام . و هلئ اسمحيلي
463,Arzu,Female,İyi de senden niye şüphelenmiş ki?,لماذا شكوا فيك؟ ,اي بس هو ليش لحتى يشك فيك؟
